tb_spi_prescaler.reset.01
tb_spi_prescaler.reset.02
tb_spi_prescaler.prescaler4.01
tb_spi_prescaler.prescaler4.02
tb_spi_prescaler.prescaler10.01
tb_spi_prescaler.prescaler10.02
tb_ecap5_dwbuart.idle.01
tb_ecap5_dwbuart.write_cr.01
tb_ecap5_dwbuart.write_cr.02
tb_ecap5_dwbuart.write_cr.03
tb_ecap5_dwbuart.write_txdr.01
tb_ecap5_dwbuart.write_txdr.02
tb_ecap5_dwbuart.write_txdr.03
tb_ecap5_dwbuart.read_rxdr.01
tb_ecap5_dwbuart.read_rxdr.02
tb_ecap5_dwbuart.prescaler.01
tb_ecap5_dwbuart.prescaler.02
tb_ecap5_dwbuart.prescaler.03
tb_ecap5_dwbuart.send_no_cs.01
tb_ecap5_dwbuart.send_no_cs.02
tb_ecap5_dwbuart.send_no_cs.03
tb_spi_frontend.reset.01
tb_spi_frontend.transmit.01
tb_spi_frontend.receive.01
tb_spi_frontend.prescaler.01
tb_spi_frontend.prescaler.02
tb_spi_frontend.no_cs.01
tb_spi_frontend.no_cs.02
